ObjectID,SamplingSite,SampleNumber,pXRFSampleNumber,PbMeasurement_ppm,Longitude,Latitude,Buffer_m
108,HarrisonPark,H8,1213,41,-87.6717565905938,41.8564334599137,1000
109,HarrisonPark,H9,1214,50,-87.6716243649851,41.8563978815361,1000
110,HarrisonPark,H10,1215,80,-87.6714224195799,41.8564418830312,1000
111,HarrisonPark,H11,1216,104,-87.6712924845205,41.8564299418488,1000
112,HarrisonPark,H12,1217,109,-87.6712128973961,41.8563669809557,1000
113,HarrisonPark,H13,1217,89,-87.6711820669393,41.8562655517557,1000
114,HarrisonPark,H14,1219,53,-87.6711249585874,41.8561110353998,1000
115,HarrisonPark,H15,1220,56,-87.6711722190748,41.8560095193023,1000
116,HarrisonPark,H16,1221,45,-87.6714159127489,41.8559906858253,1000
117,HarrisonPark,H17,1222,17,-87.6716312714168,41.8560050489109,1000
118,HarrisonPark,H18,1223,32,-87.6717963543259,41.8559863556489,1000
